arrondissement_num,insee_code,arrondissement,year,population,density,persons_per_dwelling
12,75112,12e — Reuilly,1975,140900.0,8633.6,2.04
12,75112,12e — Reuilly,1982,138015.0,8456.8,1.88
12,75112,12e — Reuilly,1990,130257.0,7981.4,1.87
12,75112,12e — Reuilly,1999,136591.0,8369.5,1.84
12,75112,12e — Reuilly,2006,141519.0,8671.5,1.83
12,75112,12e — Reuilly,2011,144402.0,8848.2,1.85
12,75112,12e — Reuilly,2016,141494.0,8670.0,1.86
12,75112,12e — Reuilly,2022,139788.0,8565.4,1.84
13,75113,13e — Gobelins,1968,158280.0,22137.1,2.32
13,75113,13e — Gobelins,1975,163313.0,22841.0,2.14
13,75113,13e — Gobelins,1982,170818.0,23890.6,2.01
13,75113,13e — Gobelins,1990,171098.0,23929.8,2.02
13,75113,13e — Gobelins,1999,171533.0,23990.6,1.94
13,75113,13e — Gobelins,2006,178716.0,24995.2,1.93
13,75113,13e — Gobelins,2011,183260.0,25630.8,1.95
13,75113,13e — Gobelins,2016,181552.0,25391.9,1.95
13,75113,13e — Gobelins,2022,177735.0,24858.0,1.88
14,75114,14e — Observatoire,1968,167093.0,29626.4,2.17
14,75114,14e — Observatoire,1975,149137.0,26442.7,1.98
14,75114,14e — Observatoire,1982,138596.0,24573.8,1.85
14,75114,14e — Observatoire,1990,136574.0,24215.2,1.87
14,75114,14e — Observatoire,1999,132844.0,23553.9,1.81
14,75114,14e — Observatoire,2006,134370.0,23824.5,1.82
14,75114,14e — Observatoire,2011,140317.0,24878.9,1.81
14,75114,14e — Observatoire,2016,137105.0,24309.4,1.84
14,75114,14e — Observatoire,2022,137581.0,24393.8,1.84
15,75115,15e — Vaugirard,1968,244080.0,28783.0,2.14
15,75115,15e — Vaugirard,1975,231301.0,27276.1,1.98
15,75115,15e — Vaugirard,1982,225596.0,26603.3,1.87
15,75115,15e — Vaugirard,1990,223940.0,26408.0,1.83
15,75115,15e — Vaugirard,1999,225362.0,26575.7,1.8
15,75115,15e — Vaugirard,2006,232949.0,27470.4,1.81
15,75115,15e — Vaugirard,2011,238395.0,28112.6,1.84
15,75115,15e — Vaugirard,2016,233484.0,27533.5,1.84
15,75115,15e — Vaugirard,2022,228754.0,26975.7,1.81
16,75116,16e — Passy,1968,214120.0,13080.0,2.41
16,75116,16e — Passy,1975,193590.0,11825.9,2.14
16,75116,16e — Passy,1982,179446.0,10961.9,2.01
16,75116,16e — Passy,1990,169863.0,10376.5,1.98
16,75116,16e — Passy,1999,161773.0,9882.3,1.94
16,75116,16e — Passy,2006,153920.0,9402.6,1.97
16,75116,16e — Passy,2011,169942.0,10381.3,1.96
16,75116,16e — Passy,2016,165446.0,10106.7,1.97
16,75116,16e — Passy,2022,159733.0,9757.7,1.95
17,75117,17e — Batignolles,1968,210299.0,37089.8,2.18
17,75117,17e — Batignolles,1975,186293.0,32855.9,1.99
17,75117,17e — Batignolles,1982,169513.0,29896.5,1.88
17,75117,17e — Batignolles,1990,161935.0,28560.0,1.9
17,75117,17e — Batignolles,1999,160860.0,28370.4,1.85
17,75117,17e — Batignolles,2006,161327.0,28452.7,1.88
17,75117,17e — Batignolles,2011,170174.0,30013.1,1.88
17,75117,17e — Batignolles,2016,167835.0,29600.5,1.87
17,75117,17e — Batignolles,2022,161206.0,28431.4,1.88
18,75118,18e — Buttes-Montmartre,1968,236776.0,39397.0,2.08
18,75118,18e — Buttes-Montmartre,1975,208970.0,34770.4,1.95
18,75118,18e — Buttes-Montmartre,1982,186866.0,31092.5,1.82
18,75118,18e — Buttes-Montmartre,1990,187657.0,31224.1,1.88
