name,year_opened,lat,lon,source,index_right,arrondissement_num,insee_code,arrondissement
Ranelagh,1900,48.8555764,2.2702166,overpass,14,16,75116,16e — Passy
Jasmin,1900,48.8525598,2.2681802,overpass,14,16,75116,16e — Passy
Michel-Ange - Molitor,1900,48.8450092,2.26111,overpass,14,16,75116,16e — Passy
Exelmans,1900,48.8430044,2.2600472,overpass,14,16,75116,16e — Passy
Porte de Saint-Cloud,1900,48.8377937,2.256558,overpass,14,16,75116,16e — Passy
Alma-Marceau,1900,48.8648683,2.300292,overpass,14,16,75116,16e — Passy
Saint-Philippe du Roule,1900,48.8722352,2.3100505,overpass,8,8,75108,8e — Élysée
Miromesnil,1900,48.873719,2.3145029,overpass,8,8,75108,8e — Élysée
Sèvres-Babylone,1900,48.8512518,2.326992,overpass,10,6,75106,6e — Luxembourg
Brochant,1912,48.8905757,2.3202004,overpass,12,17,75117,17e — Batignolles
La Fourche,1900,48.886971,2.3258228,overpass,12,17,75117,17e — Batignolles
Ségur,1900,48.8469753,2.3074451,overpass,11,15,75115,15e — Vaugirard
Avenue Émile Zola,1900,48.8469751,2.2953222,overpass,11,15,75115,15e — Vaugirard
Assemblée Nationale,1900,48.860576,2.3211714,overpass,17,7,75107,7e — Palais-Bourbon
Solférino,1900,48.8586551,2.3229865,overpass,17,7,75107,7e — Palais-Bourbon
Rennes,1900,48.848198,2.3277771,overpass,10,6,75106,6e — Luxembourg
Notre-Dame des Champs,1900,48.8446836,2.3288039,overpass,10,6,75106,6e — Luxembourg
Commerce,1900,48.8447112,2.2938643,overpass,11,15,75115,15e — Vaugirard
École Militaire,1900,48.8546647,2.3060728,overpass,17,7,75107,7e — Palais-Bourbon
La Tour Maubourg,1900,48.8575602,2.3103234,overpass,17,7,75107,7e — Palais-Bourbon
Filles du Calvaire,1900,48.8633194,2.3666323,overpass,3,11,75111,11e — Popincourt
Saint-Sébastien - Froissart,1900,48.8611816,2.367234,overpass,3,11,75111,11e — Popincourt
